latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-32.756,-71.4727,302.8,2.5,1.5,2014-01-01,0526,Aqua,MODIS,52,6.2,284.9,30.9,N,0
-32.7624,-71.4697,304.8,2.5,1.5,2014-01-01,0526,Aqua,MODIS,58,6.2,283.9,32,N,0
-27.117,-70.1715,328.9,1,1,2014-01-01,1449,Terra,MODIS,57,6.2,313,4.7,D,0
-35.3354,-72.4119,312.7,1,1,2014-01-01,1451,Terra,MODIS,10,6.2,299.3,6.6,D,0
-37.4798,-73.3455,310.4,1,1,2014-01-01,1452,Terra,MODIS,43,6.2,295,7.7,D,2
-37.4816,-73.3339,310.2,1,1,2014-01-01,1452,Terra,MODIS,42,6.2,294.4,7.5,D,2
-36.7457,-73.0327,317.3,1.2,1.1,2014-01-01,1907,Aqua,MODIS,52,6.2,299.1,11.9,D,0
-36.7481,-73.0466,334,1.2,1.1,2014-01-01,1907,Aqua,MODIS,80,6.2,302.7,39.3,D,0
-33.0762,-71.5919,322.9,1.8,1.3,2014-01-01,1908,Aqua,MODIS,19,6.2,301.8,27.7,D,0
-32.8015,-71.4848,349.6,1.8,1.3,2014-01-01,1908,Aqua,MODIS,93,6.2,310.2,116.1,D,0
-32.7897,-71.4879,325.6,1.8,1.3,2014-01-01,1908,Aqua,MODIS,49,6.2,307.7,27.2,D,0
-32.7978,-71.4659,346.7,1.8,1.3,2014-01-01,1908,Aqua,MODIS,91,6.2,308.7,100.4,D,0
-32.786,-71.4691,324.4,1.8,1.3,2014-01-01,1908,Aqua,MODIS,47,6.2,306.6,21.8,D,0
-22.3109,-68.8896,306.8,1.1,1.1,2014-01-02,0606,Aqua,MODIS,69,6.2,279.3,13.5,N,0
-22.3124,-68.879,316.3,1.1,1.1,2014-01-02,0606,Aqua,MODIS,93,6.2,279.1,21.9,N,2
-32.7533,-71.4735,314.2,1.1,1,2014-01-02,0609,Aqua,MODIS,89,6.2,284.5,17.7,N,0
-37.9748,-72.6212,313,2.9,1.6,2014-01-02,1811,Aqua,MODIS,41,6.2,292.7,43,D,0
-33.0908,-71.2746,319.8,2.1,1.4,2014-01-02,1813,Aqua,MODIS,34,6.2,299.6,24.9,D,0
