latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-42.8344,-72.638,302.7,1.5,1.2,2011-01-01,0618,Aqua,MODIS,51,6.2,287.9,12.2,N,1
-42.8361,-72.644,305.2,1.5,1.2,2011-01-01,0618,Aqua,MODIS,64,6.2,288.4,13.8,N,1
-40.5782,-73.1379,310.8,3.6,1.8,2011-01-01,1541,Terra,MODIS,22,6.2,296.3,33.3,D,0
-37.4721,-72.367,310.6,3.8,1.8,2011-01-01,1541,Terra,MODIS,23,6.2,296.8,33.5,D,0
-37.4705,-72.372,319,2.2,1.4,2011-01-01,1817,Aqua,MODIS,44,6.2,304.4,22.1,D,0
-30.6277,-71.2224,328.9,1.5,1.2,2011-01-01,1819,Aqua,MODIS,73,6.2,307.2,25.5,D,0
-30.629,-71.2457,322.2,1.5,1.2,2011-01-01,1819,Aqua,MODIS,52,6.2,306.4,13.7,D,0
-30.6272,-71.2294,335.1,1.5,1.2,2011-01-01,1819,Aqua,MODIS,81,6.2,307.4,42.5,D,0
-30.6294,-71.2388,332.7,1.5,1.2,2011-01-01,1819,Aqua,MODIS,79,6.2,307.1,36.4,D,0
-32.802,-70.9552,324.4,1.6,1.2,2011-01-01,1819,Aqua,MODIS,73,6.2,304.7,23.4,D,2
-32.5839,-71.2708,331.8,1.6,1.3,2011-01-01,1819,Aqua,MODIS,81,6.2,305.2,38.8,D,0
-32.5857,-71.289,337.9,1.6,1.3,2011-01-01,1819,Aqua,MODIS,87,6.2,308.5,56.7,D,0
-42.8408,-72.6558,305.3,1.1,1,2011-01-02,0340,Terra,MODIS,64,6.2,288.7,8.5,N,1
-42.8314,-72.658,306.2,1.1,1,2011-01-02,0340,Terra,MODIS,67,6.2,288.8,9.1,N,1
-32.8038,-70.9528,305.2,1.1,1,2011-01-02,0343,Terra,MODIS,63,6.2,287.3,9.6,N,2
-20.926,-68.635,331.5,1.2,1.1,2011-01-02,1441,Terra,MODIS,67,6.2,307,22.6,D,0
-53.4325,-70.1658,308.1,1.4,1.2,2011-01-02,1449,Terra,MODIS,64,6.2,292.9,9.8,D,0
-44.2392,-73.1164,302.2,1,1,2011-01-02,1859,Aqua,MODIS,12,6.2,288,2.6,D,0
-36.3456,-72.5788,319.7,1.1,1.1,2011-01-02,1901,Aqua,MODIS,50,6.2,300.5,10,D,0
-34.2749,-71.4469,328.8,1.4,1.2,2011-01-02,1901,Aqua,MODIS,66,6.2,303.4,23.7,D,0
-23.8187,-70.3154,302.9,1,1,2011-01-03,0600,Aqua,MODIS,52,6.2,287.2,7.9,N,0
-30.5462,-71.2498,311.8,1,1,2011-01-03,0602,Aqua,MODIS,83,6.2,287,13.1,N,0
-34.1054,-70.4462,311.3,1.1,1,2011-01-03,0603,Aqua,MODIS,82,6.2,284.2,15.7,N,2
-34.1039,-70.4579,312,1.1,1,2011-01-03,0603,Aqua,MODIS,84,6.2,283.5,16,N,2
-34.1058,-70.4563,316.5,1,1,2011-01-04,0330,Terra,MODIS,93,6.2,283.6,18.2,N,2
-33.3857,-70.9585,304.9,1,1,2011-01-04,0331,Terra,MODIS,62,6.2,282.9,9.6,N,0
-38.5951,-72.4348,309.9,1,1,2011-01-04,1848,Aqua,MODIS,52,6.2,293,7.1,D,0
-34.1041,-70.4517,307.1,1,1,2011-01-05,0551,Aqua,MODIS,70,6.2,281.7,11.9,N,2
-39.4201,-71.9354,307.3,1,1,2011-01-05,0552,Aqua,MODIS,71,6.2,269.5,13.5,N,1
-35.8433,-71.5906,310.3,1.7,1.3,2011-01-05,1515,Terra,MODIS,37,6.2,297.6,11.6,D,0
-37.4829,-73.3348,308,1.4,1.2,2011-01-05,1516,Terra,MODIS,34,6.2,296,9.6,D,2
-37.0338,-72.3985,311,1.5,1.2,2011-01-05,1516,Terra,MODIS,44,6.2,298.6,8.4,D,0
-41.8723,-73.8113,303.6,1.5,1.2,2011-01-05,1517,Terra,MODIS,0,6.2,293,8.1,D,0
-41.4756,-72.9815,304.8,1.6,1.3,2011-01-05,1517,Terra,MODIS,19,6.2,288.4,9.3,D,0
-35.0311,-70.8271,338.2,4.1,1.9,2011-01-05,1754,Aqua,MODIS,88,6.2,299,280.7,D,0
-33.4067,-70.9958,322.6,4.1,1.9,2011-01-05,1754,Aqua,MODIS,55,6.2,302.8,74.2,D,0
-35.0157,-70.8282,314.7,4.1,1.9,2011-01-05,1754,Aqua,MODIS,58,6.2,299.7,66.3,D,0
-35.0328,-70.8234,336.2,4.1,1.9,2011-01-05,1754,Aqua,MODIS,87,6.2,298.6,254,D,0
-33.4049,-71.0027,320.5,4.1,1.9,2011-01-05,1754,Aqua,MODIS,53,6.2,302.7,63.6,D,0
-42.8413,-72.653,310.3,2,1.4,2011-01-05,1929,Aqua,MODIS,29,6.2,296,20.2,D,1
-41.4944,-73.0817,310.5,2.1,1.4,2011-01-05,1930,Aqua,MODIS,59,6.2,294.4,23,D,0
-41.4671,-72.9583,306.8,2.1,1.4,2011-01-05,1930,Aqua,MODIS,37,6.2,295.1,13.1,D,0
-35.0424,-70.8234,353,4.3,1.9,2011-01-05,1931,Aqua,MODIS,97,6.2,299.8,511.7,D,0
-35.041,-70.8338,350.1,4.3,1.9,2011-01-05,1931,Aqua,MODIS,95,6.2,301.3,459.8,D,0
-34.5127,-71.2267,306.8,1.4,1.2,2011-01-06,0318,Terra,MODIS,69,6.2,290,14.1,N,0
-33.399,-70.9356,322.2,1.3,1.1,2011-01-06,0318,Terra,MODIS,100,6.2,291.2,30,N,0
-33.4065,-70.941,306.1,1.3,1.1,2011-01-06,0318,Terra,MODIS,60,6.2,289.4,10.9,N,0
-35.041,-70.8162,302,1.4,1.2,2011-01-06,0318,Terra,MODIS,44,6.2,287.8,8.9,N,0
-35.0136,-70.8123,398.3,1.4,1.2,2011-01-06,0318,Terra,MODIS,100,6.2,299.9,386.5,N,0
-35.0152,-70.8269,344.4,1.4,1.2,2011-01-06,0318,Terra,MODIS,100,6.2,291,82.3,N,0
-26.4268,-69.4702,300.2,1,1,2011-01-06,0320,Terra,MODIS,21,6.2,279.3,7.8,N,0
-26.4282,-69.4803,315.2,1,1,2011-01-06,0320,Terra,MODIS,91,6.2,280.1,17.9,N,0
