latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-40.5171,-72.1423,313.5,1.4,1.2,2012-01-01,0406,Terra,MODIS,58,6.2,288.1,24.1,N,2
-38.0306,-72.4373,304.9,1.5,1.2,2012-01-01,0406,Terra,MODIS,62,6.2,286.9,15.3,N,0
-40.5203,-72.1592,325.7,1.4,1.2,2012-01-01,0406,Terra,MODIS,100,6.2,293.7,43.5,N,2
-36.832,-72.559,302.3,1.6,1.2,2012-01-01,0407,Terra,MODIS,40,6.2,291.5,9.1,N,0
-36.8176,-72.5448,316.5,1.6,1.2,2012-01-01,0407,Terra,MODIS,93,6.2,292.7,28.1,N,0
-36.821,-72.5628,315.1,1.6,1.2,2012-01-01,0407,Terra,MODIS,90,6.2,292.4,25.2,N,0
-36.8147,-72.5281,317.3,1.3,1.1,2012-01-01,0545,Aqua,MODIS,95,6.2,291.6,21,N,0
-36.8198,-72.5585,337.9,1.3,1.1,2012-01-01,0545,Aqua,MODIS,100,6.2,292.5,54.5,N,0
-36.8098,-72.5559,307.1,1.3,1.1,2012-01-01,0545,Aqua,MODIS,24,6.2,291.4,9.7,N,0
-36.8123,-72.542,328.5,1.3,1.1,2012-01-01,0545,Aqua,MODIS,100,6.2,292.5,37.9,N,0
-36.8222,-72.5447,316.8,1.3,1.1,2012-01-01,0545,Aqua,MODIS,68,6.2,291.4,19.4,N,0
-36.8208,-72.5496,326.3,1.3,1.1,2012-01-01,0545,Aqua,MODIS,100,6.2,293.1,34,N,0
-36.8307,-72.5525,302,1.3,1.1,2012-01-01,0545,Aqua,MODIS,46,6.2,290.6,7.3,N,0
-36.7948,-72.5806,303.8,1.3,1.1,2012-01-01,0545,Aqua,MODIS,18,6.2,290.6,7.8,N,0
-36.7998,-72.553,307.3,1.3,1.1,2012-01-01,0545,Aqua,MODIS,49,6.2,291,10.5,N,0
-36.8182,-72.5634,324.6,1.3,1.1,2012-01-01,0545,Aqua,MODIS,100,6.2,291.2,31.1,N,0
-40.5246,-72.1393,310.8,1.1,1,2012-01-01,0546,Aqua,MODIS,12,6.2,287.9,13.3,N,2
-40.5225,-72.1518,332.6,1.1,1,2012-01-01,0546,Aqua,MODIS,100,6.2,299.4,38.7,N,2
-36.8188,-72.5561,336.3,1.3,1.1,2012-01-01,1510,Terra,MODIS,85,6.2,307.7,39.3,D,0
-36.7836,-72.5935,391,1.3,1.1,2012-01-01,1510,Terra,MODIS,100,6.2,314.2,271,D,0
-37.4763,-73.3494,316.5,1.2,1.1,2012-01-01,1510,Terra,MODIS,43,6.2,305.6,11.3,D,2
-36.7852,-72.5792,358.7,1.3,1.1,2012-01-01,1510,Terra,MODIS,99,6.2,311.1,102.3,D,0
-36.7936,-72.5959,362.6,1.3,1.1,2012-01-01,1510,Terra,MODIS,100,6.2,308.6,115.5,D,0
-36.7953,-72.5817,355,1.3,1.1,2012-01-01,1510,Terra,MODIS,97,6.2,309.5,88.2,D,0
-38.4813,-73.3366,312.9,1.2,1.1,2012-01-01,1510,Terra,MODIS,45,6.2,301.4,10,D,0
-38.1458,-72.9091,319.1,1.3,1.1,2012-01-01,1510,Terra,MODIS,37,6.2,305.3,11.5,D,0
-36.8053,-72.5837,318.9,1.3,1.1,2012-01-01,1510,Terra,MODIS,52,6.2,304.5,9.2,D,0
-38.4802,-73.3455,312.2,1.2,1.1,2012-01-01,1510,Terra,MODIS,40,6.2,300.1,8.9,D,0
-38.2292,-73.4124,320.2,1.2,1.1,2012-01-01,1510,Terra,MODIS,58,6.2,301.9,15.4,D,0
-36.8087,-72.5543,345.5,1.3,1.1,2012-01-01,1510,Terra,MODIS,92,6.2,308,60,D,0
-36.8104,-72.5399,349.1,1.3,1.1,2012-01-01,1510,Terra,MODIS,94,6.2,309.7,70.8,D,0
-36.7735,-72.5915,317.9,1.3,1.1,2012-01-01,1510,Terra,MODIS,41,6.2,306.5,10.3,D,0
