latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-23.6643,-70.3935,301.4,1,1,2015-01-01,0322,Terra,MODIS,20,6.2,290.1,5.1,N,0
-22.4381,-68.9299,301.6,1,1,2015-01-01,0322,Terra,MODIS,43,6.2,282.4,8.1,N,0
-39.4543,-72.7754,308,1.3,1.1,2015-01-01,1835,Aqua,MODIS,51,6.2,297.6,7.7,D,0
-38.2512,-72.6748,311.9,1.3,1.1,2015-01-01,1836,Aqua,MODIS,57,6.2,301.5,7.6,D,0
-37.0908,-72.437,313.7,1.2,1.1,2015-01-01,1836,Aqua,MODIS,46,6.2,303.2,6.8,D,0
-39.2957,-72.2335,311,1.3,1.1,2015-01-01,1836,Aqua,MODIS,39,6.2,298.4,8.7,D,0
-37.0979,-73.1509,311.6,1.3,1.1,2015-01-01,1836,Aqua,MODIS,0,6.2,300.4,9.1,D,0
-37.4813,-73.34,309.4,1.4,1.2,2015-01-01,1836,Aqua,MODIS,25,6.2,297,9.9,D,2
-38.2445,-72.3342,311.4,1.2,1.1,2015-01-01,1836,Aqua,MODIS,23,6.2,300.6,7.3,D,0
-35.5973,-71.732,318.4,1.1,1,2015-01-01,1836,Aqua,MODIS,53,6.2,306.8,5.9,D,0
-37.717,-72.2385,313.1,1.2,1.1,2015-01-01,1836,Aqua,MODIS,14,6.2,302,6.8,D,0
-37.0365,-72.4047,316.3,1.2,1.1,2015-01-01,1836,Aqua,MODIS,46,6.2,302.4,6.7,D,0
-38.987,-72.6504,311.1,1.3,1.1,2015-01-01,1836,Aqua,MODIS,52,6.2,300.1,7.4,D,0
-36.427,-71.9576,315.8,1.1,1.1,2015-01-01,1836,Aqua,MODIS,37,6.2,303.7,7.1,D,2
-38.2345,-72.336,312.2,1.2,1.1,2015-01-01,1836,Aqua,MODIS,33,6.2,301.4,8.1,D,0
-36.7179,-72.9772,310.5,1.3,1.1,2015-01-01,1836,Aqua,MODIS,0,6.2,299.6,9.3,D,0
-37.6717,-72.0232,311.3,1.2,1.1,2015-01-01,1836,Aqua,MODIS,21,6.2,300.3,6.7,D,0
-37.0819,-73.1592,312.1,1.3,1.1,2015-01-01,1836,Aqua,MODIS,0,6.2,300.7,10.8,D,0
-34.4009,-70.8325,326.1,1,1,2015-01-01,1837,Aqua,MODIS,61,6.2,310.5,9.8,D,0
-33.7305,-71.4491,359.5,1,1,2015-01-01,1837,Aqua,MODIS,99,6.2,312.1,76.2,D,0
-27.2536,-70.1211,331.5,1,1,2015-01-01,1839,Aqua,MODIS,66,6.2,317.6,8.4,D,0
